Date,Open,High,Low,Close,Adj Close,Volume,Monday,Tuesday,Wednesday,Thursday,Friday

2020-06-22,,,,,,,1,0,0,0
2020-06-23,,,,,,,0,1,0,0
2020-06-24,,,,,,,0,0,1,0
2020-06-25,,,,,,,0,0,0,1
2020-06-26,,,,,,,0,0,0,0
2020-06-29,,,,,,,1,0,0,0
2020-06-30,,,,,,,0,1,0,0
2020-07-01,,,,,,,0,0,1,0
2020-07-02,,,,,,,0,0,0,1
2020-07-03,,,,,,,0,0,0,0
2020-07-06,,,,,,,1,0,0,0
2020-07-07,,,,,,,0,1,0,0
2020-07-08,,,,,,,0,0,1,0
2020-07-09,,,,,,,0,0,0,1
2020-07-10,,,,,,,0,0,0,0
2020-07-13,,,,,,,1,0,0,0
2020-07-14,,,,,,,0,1,0,0
2020-07-15,,,,,,,0,0,1,0
2020-07-16,,,,,,,0,0,0,1
2020-07-17,,,,,,,0,0,0,0
2020-07-20,,,,,,,1,0,0,0
2020-07-21,,,,,,,0,1,0,0
2020-07-22,,,,,,,0,0,1,0
2020-07-23,,,,,,,0,0,0,1
2020-07-24,,,,,,,0,0,0,0
2020-07-27,,,,,,,1,0,0,0
2020-07-28,,,,,,,0,1,0,0
2020-07-29,,,,,,,0,0,1,0
2020-07-30,,,,,,,0,0,0,1
2020-07-31,,,,,,,0,0,0,0
2020-08-03,,,,,,,1,0,0,0
2020-08-04,,,,,,,0,1,0,0
2020-08-05,,,,,,,0,0,1,0
2020-08-06,,,,,,,0,0,0,1
2020-08-07,,,,,,,0,0,0,0
2020-08-10,,,,,,,1,0,0,0
2020-08-11,,,,,,,0,1,0,0
2020-08-12,,,,,,,0,0,1,0
2020-08-13,,,,,,,0,0,0,1
2020-08-14,,,,,,,0,0,0,0
2020-08-17,,,,,,,1,0,0,0
2020-08-18,,,,,,,0,1,0,0
2020-08-19,,,,,,,0,0,1,0
2020-08-20,,,,,,,0,0,0,1
2020-08-21,,,,,,,0,0,0,0
